Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: perspective_taking,Store: emotion_contagion,Store: online_simulation,Store: peripheral_responsivity,Store: proximal_responsivity,Store: CE,Store: AE
23,1677425989999,26/02/2023 15:39:49,1677425989999,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**Before criticizing somebody, I try to imagine how I would feel if I was in their place.**",response,value,Agree,,,Q6_CE_Online_Simulation,7,object-19,12,11,16,7,8,28,26
24,1677425990000,26/02/2023 15:39:50,1677425990000,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**Before criticizing somebody, I try to imagine how I would feel if I was in their place.**",response,quantised,3,,,Q6_CE_Online_Simulation,7,object-19,12,11,16,7,8,28,26
25,1677425990000,26/02/2023 15:39:50,1677425990000,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I sometimes find it difficult to see things from the “other guy’s” point of view.**,response,value,Disagree,,,Q1_CE_Online_Simulation_R,1,object-5,12,11,16,7,8,28,26
26,1677425990001,26/02/2023 15:39:50,1677425990001,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I sometimes find it difficult to see things from the “other guy’s” point of view.**,response,quantised,2,,,Q1_CE_Online_Simulation_R,1,object-5,12,11,16,7,8,28,26
27,1677425990002,26/02/2023 15:39:50,1677425990002,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**I am usually objective when I watch a film or play, and I don’t often get completely caught up in it.**",response,value,Disagree,,,Q2_AE_Peripheral_Responsivity_R,2,object-6,12,11,16,7,8,28,26
28,1677425990002,26/02/2023 15:39:50,1677425990002,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**I am usually objective when I watch a film or play, and I don’t often get completely caught up in it.**",response,quantised,2,,,Q2_AE_Peripheral_Responsivity_R,2,object-6,12,11,16,7,8,28,26
29,1677425990003,26/02/2023 15:39:50,1677425990003,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**When I am upset at someone, I usually try to “put myself in his shoes” for a while.**",response,value,Disagree,,,Q5_CE_Online_Simulation,5,object-14,12,11,16,7,8,28,26
30,1677425990004,26/02/2023 15:39:50,1677425990004,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**When I am upset at someone, I usually try to “put myself in his shoes” for a while.**",response,quantised,2,,,Q5_CE_Online_Simulation,5,object-14,12,11,16,7,8,28,26
31,1677425990004,26/02/2023 15:39:50,1677425990004,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I am inclined to get nervous when others around me seem to be nervous.**,response,value,Disagree,,,Q8_AE_Emotion_Contagion,9,object-23,12,11,16,7,8,28,26
32,1677425990005,26/02/2023 15:39:50,1677425990005,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I am inclined to get nervous when others around me seem to be nervous.**,response,quantised,2,,,Q8_AE_Emotion_Contagion,9,object-23,12,11,16,7,8,28,26
33,1677425990005,26/02/2023 15:39:50,1677425990005,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**Please select ""Strongly Agree"" to show you are paying attention to this question.**",response,value,Strongly Agree,,,Q0_Attention_Check,6,object-16,12,11,16,7,8,28,26
34,1677425990006,26/02/2023 15:39:50,1677425990006,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,"**Please select ""Strongly Agree"" to show you are paying attention to this question.**",response,quantised,4,,,Q0_Attention_Check,6,object-16,12,11,16,7,8,28,26
35,1677425990007,26/02/2023 15:39:50,1677425990007,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**People I am with have a strong influence on my mood.**,response,value,Agree,,,Q9_AE_Emotion_Contagion,10,object-25,12,11,16,7,8,28,26
36,1677425990008,26/02/2023 15:39:50,1677425990008,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**People I am with have a strong influence on my mood.**,response,quantised,3,,,Q9_AE_Emotion_Contagion,10,object-25,12,11,16,7,8,28,26
37,1677425990009,26/02/2023 15:39:50,1677425990009,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I sometimes try to understand my friends better by imagining how things look from their perspective.**,response,value,Agree,,,Q4_CE_Online_Simulation,4,object-12,12,11,16,7,8,28,26
38,1677425990010,26/02/2023 15:39:50,1677425990010,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I sometimes try to understand my friends better by imagining how things look from their perspective.**,response,quantised,3,,,Q4_CE_Online_Simulation,4,object-12,12,11,16,7,8,28,26
39,1677425990010,26/02/2023 15:39:50,1677425990010,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I often get emotionally involved with my friends’ problems.**,response,value,Agree,,,Q7_AE_Proximal_Responsivity,8,object-21,12,11,16,7,8,28,26
40,1677425990011,26/02/2023 15:39:50,1677425990011,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I often get emotionally involved with my friends’ problems.**,response,quantised,3,,,Q7_AE_Proximal_Responsivity,8,object-21,12,11,16,7,8,28,26
41,1677425990012,26/02/2023 15:39:50,1677425990012,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I try to look at everybody’s side of a disagreement before I make a decision.**,response,value,Agree,,,Q3_CE_Online_Simulation,3,object-11,12,11,16,7,8,28,26
42,1677425990013,26/02/2023 15:39:50,1677425990013,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 2,7jwaw8,3,**I try to look at everybody’s side of a disagreement before I make a decision.**,response,quantised,3,,,Q3_CE_Online_Simulation,3,object-11,12,11,16,7,8,28,26
43,1677425990013,26/02/2023 15:39:50,1677425990013,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 4,slymoa,4,**I am good at predicting what someone will do.**,response,value,Agree,,,Q27_CE_Perpective_Taking,7,object-59,28,11,25,10,11,53,32
44,1677425990014,26/02/2023 15:39:50,1677425990014,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 4,slymoa,4,**I am good at predicting what someone will do.**,response,quantised,3,,,Q27_CE_Perpective_Taking,7,object-59,28,11,25,10,11,53,32
45,1677425990015,26/02/2023 15:39:50,1677425990015,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 4,slymoa,4,**I usually stay emotionally detached when watching a film.**,response,value,Disagree,,,Q29_AE_Peripheral_Responsivity_R,9,object-64,28,11,25,10,11,53,32
46,1677425990016,26/02/2023 15:39:50,1677425990016,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 4,slymoa,4,**I usually stay emotionally detached when watching a film.**,response,quantised,2,,,Q29_AE_Peripheral_Responsivity_R,9,object-64,28,11,25,10,11,53,32
47,1677425990017,26/02/2023 15:39:50,1677425990017,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 4,slymoa,4,**Other people tell me I am good at understanding how they are feeling and what they are thinking.**,response,value,Disagree,,,Q21_CE_Perpective_Taking,1,object-47,28,11,25,10,11,53,32
48,1677425990018,26/02/2023 15:39:50,1677425990018,0,26/02/2023 15:39:50,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 4,slymoa,4,**Other people tell me I am good at understanding how they are feeling and what they are thinking.**,response,quantised,2,,,Q21_CE_Perpective_Taking,1,object-47,28,11,25,10,11,53,32
